1,California - LA,34.05349,-118.24532
2,Memphis TN,35.14968,-90.04892
3,London England,51.50632,-0.12714
4,Ohio,40.19033,-82.66947
5,Burlington Ontario Canada,43.32618,-79.79854
6,North Carolina,35.21962,-80.01955
7,Wisner LA,0,0
8,Beverly Hills CA,0,0
9,Toronto Ontario Canada,43.64856,-79.38533
10,United States,37.16793,-95.84502
11,Mineola AR,44.00118,-71.6342
12,Washington,34.31109,-94.02978
13,Dubai UAE,38.8991,-77.029
14,Morris Plains NJ,49.80388,15.47491
15,Nevada MO,40.82624,-74.47995
16,Georgia,37.83721,-94.35868
17,New York NY [Spanish Harlem],32.67828,-83.22295
18,Newark NJ,40.79195,-73.94512
19,Chicago,40.73197,-74.17418
20,Brandon,41.88415,-87.63241
21,Queens NY,27.94017,-82.32547
22,Beaumont TX,40.7038,-73.83168
23,Houston TX,0,0
24,San Antonio TX,30.08615,-94.10158
25,Detroit MI,0,0
26,Chapel Hill NC,29.76045,-95.36978
27,Oxford MS,29.42449,-98.49462
28,Dallas TX,42.33168,-83.04792
29,Berlin Germany,35.91463,-79.05661
30,New York NY,34.36401,-89.51877
31,Sao Paulo Brazil,32.77815,-96.7954
32,South Jamaica Queens,52.51607,13.37698
33,Los Angeles CA,40.71455,-74.00712
34,Middlesbrough England,-23.56287,-46.65466
35,Egremont Cumbria England,0,0
36,Garnant Wales,34.05349,-118.24532
37,California - SF,0,0
38,Melbourne Australia,54.48303,-3.53444
39,Nashville Tennessee,0,0
40,Berkeley CA,37.77916,-122.42005
41,AUSTRALIA,-37.81753,144.96715
42,Jamaica West Indies,36.16778,-86.77836
43,Pasadena CA,37.8695,-122.2705
44,Cleveland OH,-24.9162,133.39311
45,Minnesota,18.11526,-77.27348
46,Norway,0,0
47,FR,41.50471,-81.69074
48,Delight AR,46.44231,-93.36586
49,Humboldt TN,64.55653,12.66538
50,Tampa FL,46.71067,1.71819
51,CA,34.03142,-93.50243
52,Birmingham AL,35.82213,-88.91599
53,Manchester England,27.94653,-82.45927
54,Bֳ©zu comme Superdupont ne connait qu&#039;un pays : la France !,37.27188,-119.27023
55,Aarhus Denmark,33.52029,-86.8115
56,Sicily Island LA,53.4796,-2.24881
57,Tallahassee FL,0,0
58,Nashville TN,56.153,10.20452
59,San Francisco CA,31.84666,-91.657
60,Menilmontant France,30.43977,-84.28065
61,SPRINGFIELD Virginia,36.16778,-86.77836
62,Medicine Lodge KS,37.77916,-122.42005
63,Kingston Jamaica,0,0
64,Greenville MS,0,0
65,Pennsylvania,0,0
66,Philadelphia PA,18.01571,-76.79731
67,Dayton TN,33.39847,-91.03786
68,Chicago IL,40.99471,-77.60454
69,Washington DC,39.95227,-75.16237
