ArtistID,ArtistName, Genre, ArtistLocationId
ARD7TVE1187B99BFB1,Casual,hip hop,1
ARMJAGH1187FB546F3,The Box Tops,blue-eyed soul,2
ARKRRTF1187B9984DA,Sonora Santanera,salsa,0
AR7G5I41187FB4CE6C,Adam Ant,pop rock,3
ARXR32B1187FB57099,Gob,pop punk,0
ARKFYS91187B98E58F,Jeff And Sheri Easter,southern gospel,0
ARD0S291187B9B7BF5,Rated R,breakbeat,4
AR10USD1187B99F3F1,Tweeterfriendly Music,post-hardcore,5
AR8ZCNI1187B9A069B,Planet P Project,new wave,0
ARNTLGG11E2835DDB9,Clp,breakcore,0
ARGSJW91187B9B1D6B,JennyAnyKind,alternative rock,6
ARC43071187B990240,Wayne Watson,ccm,7
ARL7K851187B99ACD2,Andy Andy,bachata,0
ARHHO3O1187B989413,Bob Azzam,chanson,0
ARIK43K1187B9AE54C,Lionel Richie,quiet storm,8
ARD842G1187B997376,Blue Rodeo,country rock,9
ARIG6O41187B988BDD,Richard Souther,chill-out,10
AR1ZHYZ1187FB3C717,Faiz Ali Faiz,qawwali,0
ARYKCQI1187FB3B18F,Tesla,hard rock,0
ARNPAGP1241B9C7FD4,lextrical,indietronica,0
ARQGYP71187FB44566,Jimmy Wakely,classic country,11
ARI3BMM1187FB4255E,Alice Stuart,electric blues,12
AR5KOSW1187FB35FF4,Elena,uk garage,13
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,math-core,14
AR47JEX1187B995D81,SUE THOMPSON,pop rock,15
ARGIWFO1187B9B55B7,Five Bolt Main,post-grunge,0
ARNTLGG11E2835DDB9,Clp,breakcore,0
ARDNS031187B9924F0,Tim Wilson,filk,16
AROUOZZ1187B9ABE51,Willie Bobo,latin jazz,17
ARH4Z031187B9A71F2,Faye Adams,jump blues,18
ARB29H41187B98F0EF,Terry Callier,soul jazz,19
AR1Y2PT1187FB5B9CE,John Wesley,disco,20
ARAJPHH1187FB5566A,The Shangri-Las,doo-wop,21
AR0RCMP1187FB3F427,Billie Jo Spears,classic country,22
AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),rap,23
ARGUVEV1187B98BA17,Sierra Maestra,charanga,0
