SongNumber,Title,ArtistID,Year, Hotness,Duration,Tempo,AlbumID
1,I Didn't Mean To,ARD7TVE1187B99BFB1,0,0.60211999,218.93179,92.198,300848
2,Soul Deep,ARMJAGH1187FB546F3,1969,-1,148.03546,121.274,300822
3,Amor De Cabaret,ARKRRTF1187B9984DA,0,-1,177.47546,100.07,514953
4,Something Girls,AR7G5I41187FB4CE6C,1982,-1,233.40363,119.293,287650
5,Face the Ashes,ARXR32B1187FB57099,2007,0.604500739,209.60608,129.738,611336
6,The Moon And I (Ordinary Day Album Version),ARKFYS91187B98E58F,0,-1,267.7024,147.782,41838
7,Keepin It Real (Skit),ARD0S291187B9B7BF5,0,-1,114.78159,111.787,25824
8,Drop of Rain,AR10USD1187B99F3F1,0,-1,189.57016,101.43,8876
9,Pink World,AR8ZCNI1187B9A069B,1984,0.265861049,269.81832,86.643,358182
10,Insatiable (Instrumental Version),ARNTLGG11E2835DDB9,0,-1,266.39628,114.041,692313
11,Young Boy Blues,ARGSJW91187B9B1D6B,0,0,218.77506,146.765,539081
12,The Urgency (LP Version),ARC43071187B990240,0,0.265861049,245.21098,117.975,163874
13,La Culpa,ARL7K851187B99ACD2,0,0,226.35057,130.04,575792
14,Auguri Cha Cha,ARHHO3O1187B989413,0,0,191.84281,137.334,815863
15,Tonight Will Be Alright,ARIK43K1187B9AE54C,1986,-1,307.3824,125.197,25811
16,Floating,ARD842G1187B997376,1987,0.405115722,491.12771,119.826,135122
17,High Tide,ARIG6O41187B988BDD,0,0.334706549,228.5971,127.756,149958
18,Sohna Nee Sohna Data,AR1ZHYZ1187FB3C717,0,-1,599.24853,99.273,535188
19,Caught In A Dream,ARYKCQI1187FB3B18F,2004,0.684136191,290.29832,150.062,372309
20,Synthetic Dream,ARNPAGP1241B9C7FD4,0,0,165.69424,138.331,541101
21,Broken-Down Merry-Go-Round,ARQGYP71187FB44566,0,-1,151.84934,86.186,605134
22,Kassie Jones,ARI3BMM1187FB4255E,0,0,220.78649,110.382,239740
23,Setanta matins,AR5KOSW1187FB35FF4,0,0.313562114,269.58322,111.874,386995
24,Setting Fire to Sleeping Giants,ARMAC4T1187FB3FA4C,2004,0.666527846,207.77751,166.862,223365
25,James (Hold The Ladder Steady),AR47JEX1187B995D81,1985,0.495293621,124.86485,137.522,652784
26,Made Like This (Live),ARGIWFO1187B9B55B7,0,0.375984302,225.09669,164.672,45730
27,Superconfidential,ARNTLGG11E2835DDB9,0,-1,338.31138,125.006,672016
28,I Think My Wife Is Running Around On Me (Taco Hell),ARDNS031187B9924F0,2005,-1,186.48771,90.022,160881
